IDInsumo,Nombre,Caducidad,Cantidad,Refrigeracion,Tipo
295,cerdo,2023-12-15,52,true,Insecto
296,batata,2024-10-20,77,true,Verdura
297,gusanos de la miel,2024-02-05,31,true,Pescado
298,larvas de abeja de miel,2024-02-27,72,false,Pescado
299,tilapia del Nilo,2024-06-01,9,true,Pescado
300,bacalao,2024-01-02,22,false,Tuberculo
301,nabo negro,2024-01-21,12,true,Carne
302,perca europea,2024-08-31,47,false,Carne
303,pavo de Norfolk Black,2024-04-30,43,false,Fruta
304,ganso,2024-07-26,29,true,Insecto
305,ciervo,2024-05-23,51,true,Insecto
306,rábano daikon,2024-07-25,67,false,Verdura
307,calabacín trompeta,2024-10-12,68,false,Pescado
308,calabaza de invierno,2024-10-06,47,false,Insecto
309,calabacín italiano,2023-12-18,56,false,Verdura
310,tilapia,2024-10-14,10,true,Fruta
311,rábano negro,2024-07-13,60,false,Tuberculo
312,ciruela italiana,2024-10-25,38,false,Verdura
313,gusano de seda,2024-03-21,43,false,Fruta
314,gusanos de seda,2024-08-08,94,true,Pescado
315,calabacín,2023-12-17,53,false,Tuberculo
316,melón dulce,2024-05-15,22,true,Insecto
317,almendra negra,2024-05-20,60,false,Tuberculo
318,hormigas cortadoras de hojas,2024-09-27,62,false,Lacteo
319,durazno amarillo,2023-11-13,32,true,Lacteo
320,girasol,2024-05-28,89,true,Lacteo
321,papaya,2024-07-26,69,false,Semilla
322,kiwi,2024-07-11,33,true,Tuberculo
323,nabo largo,2024-03-14,7,true,Pescado
324,cereza agria,2024-02-14,48,true,Tuberculo
325,trucha,2024-01-02,38,true,Insecto
326,pavo Narragansett,2024-09-02,12,true,Pescado
327,trucha de arroyo,2024-08-29,39,true,Lacteo
328,judía verde,2024-02-05,59,false,Lacteo
329,trucha marrón,2024-04-16,100,false,Carne
330,sardina,2024-01-06,7,false,Carne
331,brócoli,2024-09-24,21,false,Pescado
332,almendra,2023-12-23,80,false,Fruta
333,bacalao de Alaska,2023-12-23,53,true,Lacteo
334,hormiga tejedora,2024-09-06,69,false,Tuberculo
335,saltamontes,2024-04-25,94,false,Semilla
336,pollo de Cornualles,2024-09-05,94,true,Semilla
337,tilapia del Nilo,2024-02-14,25,true,Insecto
338,garza blanca grande,2024-09-10,77,true,Lacteo
339,calabacín romano,2024-07-03,45,true,Tuberculo
340,sésamo negro,2024-04-18,27,false,Verdura
341,dorada rayada del Atlántico,2023-10-27,17,false,Fruta
342,gusano de cera,2024-03-22,37,false,Lacteo
343,hormiga de la harina,2024-05-16,24,true,Fruta
344,almendra de macadamia,2024-08-27,95,true,Carne
345,coliflor,2024-02-05,68,false,Tuberculo
346,ganso,2024-05-19,81,true,Pescado
347,ciruela verde,2023-11-06,76,true,Lacteo
348,garbanzos,2023-12-10,87,false,Tuberculo
349,gusano de la harina,2024-05-07,45,true,Carne
350,trucha arcoíris,2023-11-25,82,true,Insecto
351,avena,2024-07-28,45,false,Verdura
352,hormiga de la harina,2024-07-05,98,false,Carne
353,pavo de Norfolk Black,2024-06-24,2,true,Fruta
354,cacahuate,2024-10-25,38,true,Verdura
355,sardina europea,2024-08-05,13,false,Carne
356,pimientos morrones,2024-02-05,1,false,Fruta
357,calabacín amarillo,2024-03-29,60,true,Carne
358,pargo rojo del Atlántico,2023-11-23,25,true,Fruta
359,mazorca de maíz,2024-05-16,83,true,Verdura
360,pollo de Cornualles enano,2024-09-28,75,true,Tuberculo
361,uva,2024-10-05,26,false,Lacteo
362,pavo real,2024-06-24,37,false,Carne
363,trucha marrón,2024-03-18,9,false,Insecto
364,coliflor,2024-09-15,83,false,Pescado
365,garza gris,2024-09-05,54,false,Semilla
366,ganso de cabeza blanca,2024-02-29,53,true,Lacteo
367,calabaza de spaghetti,2024-04-05,67,true,Lacteo
368,hormigas de cabeza de huevo,2024-04-19,59,true,Verdura
369,mijo perla,2024-03-02,11,false,Fruta
370,larvas de abeja,2024-05-22,55,false,Pescado
371,lenguado de Dover,2024-10-24,92,true,Pescado
372,gallina de Cornualles,2024-07-03,36,true,Pescado
373,almendra china,2024-02-23,10,false,Pescado
374,coliflor,2024-09-09,37,false,Semilla
375,calabacín redondo,2024-02-16,32,false,Verdura
376,calabaza de peregrino,2024-08-14,39,false,Semilla
377,almendra china,2023-11-28,18,false,Fruta
378,ganso del Canadá,2024-07-10,47,true,Tuberculo
379,trucha,2024-05-21,77,true,Pescado
380,durazno,2023-11-17,4,true,Verdura
381,chapulines rojos,2024-02-24,99,true,Lacteo
382,pavo Narragansett,2024-08-20,91,true,Tuberculo
383,pimientos amarillos,2024-02-12,1,true,Insecto
384,mazorca de maíz roja,2024-06-16,9,false,Carne
385,kiwi,2024-07-03,47,false,Lacteo
386,abejorro,2024-05-23,41,true,Semilla
387,ciruela roja japonesa,2024-09-23,33,true,Tuberculo
388,hormigas de cabeza de huevo,2024-06-11,90,true,Lacteo
389,mújol del Pacífico,2023-11-30,8,false,Fruta
390,nabo blanco,2024-08-15,63,false,Semilla
391,rábano blanco,2024-02-18,19,true,Lacteo
392,pimiento verde,2024-06-03,42,true,Fruta
393,larvas de polilla de la seda,2024-08-17,19,true,Carne
394,pato de Pekín,2024-04-10,93,false,Semilla
395,ciruela verde,2023-12-02,39,false,Fruta
396,ciruela,2024-06-28,32,false,Pescado
397,rábano oriental redondo,2024-04-19,5,true,Verdura
398,larvas de polilla del atlas,2024-08-20,47,true,Fruta
399,anguila,2024-05-23,76,false,Verdura
400,repollo blanco,2024-10-18,79,false,Insecto
401,hormiga de la harina,2023-12-01,56,true,Tuberculo
402,rábano chino,2024-09-07,7,false,Tuberculo
403,calabaza cacahuete,2024-03-18,38,true,Pescado
404,garbanzos,2023-11-26,98,true,Verdura
405,lenguado del Atlántico,2024-03-17,52,true,Fruta
406,pimientos morrones verdes,2024-06-17,47,true,Tuberculo
407,larvas de langosta,2024-05-10,36,true,Insecto
408,quinoa negra,2024-05-28,23,true,Insecto
409,cerdo,2024-03-24,93,true,Carne
410,zanahoria,2024-02-01,52,true,Fruta
411,hormiga culona,2024-01-27,3,true,Carne
412,calabaza de invierno,2023-11-25,63,true,Lacteo
413,hormiga de la harina,2023-11-29,6,false,Verdura
414,berenjena,2024-07-24,96,true,Lacteo
415,durazno amarillo,2024-10-21,94,false,Pescado
416,calabacín redondo,2024-08-31,5,false,Fruta
417,trucha arcoíris,2024-06-19,32,false,Insecto
418,betabel,2024-07-31,13,false,Insecto
419,ciruela roja occidental,2023-12-01,56,false,Fruta
420,trucha de arroyo,2024-10-05,66,true,Insecto
421,pavo bronceado,2024-04-13,72,false,Pescado
422,conejo,2024-03-17,100,false,Carne
423,lubina,2024-03-15,70,true,Insecto
424,pargo rojo del Pacífico,2024-03-19,5,false,Pescado
425,hormigas,2024-01-02,91,true,Semilla
426,hormigas blancas,2024-03-30,1,false,Carne
427,cacahuate,2023-11-22,99,false,Carne
428,gusanos del corazón,2024-03-02,41,true,Fruta
429,chapulines verdes,2024-05-09,50,false,Lacteo
430,zanahoria,2023-11-25,12,false,Lacteo
431,naranja,2024-04-05,43,false,Fruta
432,batata,2024-03-21,89,true,Carne
433,sésamo negro,2023-12-14,9,false,Semilla
434,hormigas de terciopelo,2024-10-12,73,false,Semilla
435,gusanos de la col,2024-06-15,3,true,Tuberculo
436,rábano blanco,2024-10-18,97,false,Fruta
437,ganso,2024-04-17,13,false,Lacteo
438,pimientos morrones verdes,2023-12-07,38,true,Semilla
439,quinoa roja,2024-02-05,23,false,Semilla
440,durazno amarillo,2024-04-30,89,false,Pescado
441,bacalao de Alaska,2024-07-15,85,true,Semilla
442,calabaza de peregrino,2024-01-24,53,false,Verdura
443,saltamontes,2024-04-25,59,false,Insecto
444,patata dulce,2024-10-20,51,false,Pescado
445,ciruela roja occidental,2024-01-28,83,true,Insecto
446,hormigas blancas,2024-02-16,6,true,Verdura
447,pavo de Bourbourg,2023-11-10,96,false,Tuberculo
448,nabo forrajero,2024-01-09,1,true,Lacteo
449,calabacín trompeta,2024-08-14,93,true,Verdura
450,cerezas,2024-10-23,49,true,Semilla
451,almendra negra,2024-07-08,23,true,Verdura
452,hormigas,2024-07-24,85,false,Semilla
453,gusano de seda,2024-05-26,51,false,Pescado
454,rábano silvestre,2023-12-10,7,true,Carne
455,betabel,2024-04-20,16,true,Lacteo
456,calabaza de spaghetti,2024-01-04,61,false,Pescado
457,nabo forrajero,2023-11-19,89,true,Carne
458,ciruela roja occidental,2024-06-28,79,false,Lacteo
459,mijo perla,2024-05-06,80,true,Lacteo
460,grillos,2023-12-04,13,false,Semilla
461,pargo común,2024-01-29,80,true,Lacteo
462,lombrices,2024-07-07,57,false,Pescado
463,larvas de abeja,2024-09-19,98,true,Insecto
464,rábano blanco,2024-07-03,12,true,Verdura
465,nabo blanco,2024-08-07,16,false,Pescado
466,sardina,2024-09-28,61,true,Verdura
467,pimientos amarillos,2024-02-24,98,false,Semilla
468,trucha de arroyo,2024-01-06,98,false,Semilla
469,papa,2024-02-22,14,true,Pescado
470,pargo rojo del Atlántico,2024-05-20,86,true,Fruta
471,larvas de abeja,2024-01-05,63,false,Insecto
472,amaranto negro,2023-11-20,80,false,Pescado
473,enguia,2024-05-01,73,true,Tuberculo
474,rábano chino,2024-08-21,42,true,Tuberculo
475,amaranto rojo,2024-08-03,3,false,Insecto
476,pimientos naranja,2024-03-24,49,false,Carne
477,rábano rojo,2023-11-29,30,true,Pescado
478,ganso de nieve,2023-12-14,9,false,Semilla
479,coliflor,2024-02-16,50,true,Semilla
480,grillos,2023-11-12,23,false,Lacteo
481,calabaza de spaghetti,2023-11-03,81,true,Tuberculo
482,ciruela verde,2024-06-11,42,false,Tuberculo
483,chapulines verdes,2024-09-16,93,false,Semilla
484,rábano redondo,2024-09-04,36,true,Pescado
485,ciruela negra,2024-09-13,12,true,Verdura
486,nabo forrajero,2024-06-13,24,false,Verdura
487,pavo,2024-07-21,94,false,Semilla
488,bacalao del Pacífico,2024-01-10,8,true,Fruta
489,espinaca,2024-08-15,100,true,Fruta
490,ciruela roja japonesa,2023-11-30,23,true,Fruta
491,berro de agua,2024-06-25,2,false,Insecto
492,remolacha,2024-09-21,93,false,Verdura
493,calabaza de piel de serpiente,2024-08-18,36,false,Insecto
494,larvas de polilla del ejército,2024-02-12,63,true,Fruta
495,pavo Bourbon Red,2024-07-15,95,false,Lacteo
496,gusanos de seda,2024-09-19,28,true,Lacteo
497,almendra australiana,2023-12-09,36,false,Carne
498,quinua blanca,2024-10-06,29,true,Tuberculo
499,bacalao del Atlántico,2024-04-18,20,true,Lacteo
500,quinoa negra,2024-08-06,78,true,Semilla
501,gusano del harino,2024-05-26,88,true,Fruta
502,pollo de Guinea,2023-11-11,24,true,Semilla
503,larvas de abeja,2024-01-31,86,true,Tuberculo
504,nombre,2024-01-27,52,false,Insecto
505,rábano oriental,2024-10-01,15,false,Verdura
506,nabo largo,2024-01-03,92,false,Insecto
507,garza real,2024-05-06,60,false,Insecto
508,larvas de abeja,2024-01-16,47,true,Carne
509,salmón,2023-11-08,40,false,Semilla
510,gusano de cera,2024-08-10,59,true,Verdura
511,calabacín francés,2024-04-14,73,false,Tuberculo
512,pato de Pekín,2023-10-30,6,false,Verdura
513,pimientos morrones,2024-03-30,12,true,Fruta
514,soja,2024-10-08,14,true,Verdura
515,pavo,2023-12-01,5,true,Semilla
516,larvas de polilla de la seda,2024-02-28,31,true,Lacteo
517,ciervo,2024-09-10,13,false,Tuberculo
518,repollo blanco,2024-06-25,48,true,Tuberculo
519,amaranto negro,2024-06-06,73,true,Lacteo
520,pavo Narragansett,2024-05-04,4,false,Semilla
521,ciruela verde,2024-08-02,1,true,Carne
522,gusanos de harina,2024-06-26,15,false,Fruta
523,calabaza de barco,2024-04-18,81,true,Verdura
524,atún,2024-10-02,55,false,Fruta
525,calabaza del acantilado,2024-06-11,12,true,Carne
526,pollo de Guinea,2024-05-08,8,false,Insecto
527,hormigas de terciopelo,2024-09-05,29,true,Verdura
528,maíz,2024-08-24,75,true,Verdura
529,escamoles,2024-04-06,23,false,Verdura
530,avena,2024-02-13,27,false,Lacteo
531,ciervo,2024-03-03,34,false,Verdura
532,gusanos de harina,2024-07-30,36,false,Semilla
533,chapulines verdes,2024-04-05,83,true,Fruta
534,hormigas cortadoras de hojas,2024-07-22,32,false,Pescado
535,almendra de macadamia,2024-05-14,70,false,Verdura
536,ciruela italiana,2024-07-03,50,false,Carne
537,gusanos de la col,2024-04-14,25,false,Lacteo
538,sardina europea,2024-04-08,23,false,Insecto
539,ciruela roja japonesa,2024-04-27,81,true,Tuberculo
540,lenguado de Dover,2024-09-14,71,true,Lacteo
541,pavo de Norfolk Black,2024-05-20,87,true,Lacteo
542,espinaca,2024-09-17,42,true,Semilla
543,chapulines verdes,2024-07-17,18,false,Pescado
